Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Gansu,Mainland China,1/29/20 21:00,26,,,
Inner Mongolia,Mainland China,1/29/20 21:00,16,,,
Jilin,Mainland China,1/29/20 21:00,14,,1,
Xinjiang,Mainland China,1/29/20 21:00,14,,,
Guizhou,Mainland China,1/29/20 21:00,12,,1,
Ningxia,Mainland China,1/29/20 21:00,12,,,
Hong Kong,Hong Kong,1/29/20 21:00,10,,,
Taiwan,Taiwan,1/29/20 21:00,8,,,
Macau,Macau,1/29/20 21:00,7,,,
Qinghai,Mainland China,1/29/20 21:00,6,,,
Tibet,Mainland China,1/29/20 21:00,1,,,
Washington,US,1/29/20 21:00,1,,,
Illinois,US,1/29/20 21:00,1,,,
California,US,1/29/20 21:00,2,,,
Arizona,US,1/29/20 21:00,1,,,
,Japan,1/29/20 21:00,11,,1,
,Thailand,1/29/20 21:00,14,,5,
,South Korea,1/29/20 21:00,4,,,
,Singapore ,1/29/20 21:00,10,,,
,Vietnam,1/29/20 21:00,2,,,
,France,1/29/20 21:00,5,,,
,Nepal,1/29/20 21:00,1,,,
,Malaysia ,1/29/20 21:00,7,,,
Ontario,Canada,1/29/20 21:00,2,,,
British Columbia,Canada,1/29/20 21:00,1,,,
,Cambodia,1/29/20 21:00,1,,,
,Sri Lanka,1/29/20 21:00,1,,,
New South Wales,Australia,1/29/20 21:00,4,,,
Victoria,Australia,1/29/20 21:00,2,,,
Queensland,Australia,1/29/20 21:00,1,,,
Bavaria,Germany,1/29/20 21:00,4,,,
,Finland,1/29/20 21:00,1,,,
,United Arab Emirates,1/29/20 21:00,4,,,
Hubei,Mainland China,1/30/20 21:30,5806,204,116,
Zhejiang,Mainland China,1/30/20 21:30,537,,9,
Guangdong,Mainland China,1/30/20 21:30,393,,11,
Henan,Mainland China,1/30/20 21:30,352,2,3,
Hunan,Mainland China,1/30/20 21:30,332,,2,
Jiangxi,Mainland China,1/30/20 21:30,240,,7,
Anhui,Mainland China,1/30/20 21:30,237,,3,
Chongqing,Mainland China,1/30/20 21:30,206,,1,
Shandong,Mainland China,1/30/20 21:30,178,,2,
Sichuan,Mainland China,1/30/20 21:30,177,1,1,
Jiangsu,Mainland China,1/30/20 21:30,168,,2,
Shanghai,Mainland China,1/30/20 21:30,128,1,9,
Beijing,Mainland China,1/30/20 21:30,121,1,5,
Fujian,Mainland China,1/30/20 21:30,101,,,
Guangxi,Mainland China,1/30/20 21:30,87,,2,
Hebei,Mainland China,1/30/20 21:30,82,1,,
Yunnan,Mainland China,1/30/20 21:30,76,,,
Shaanxi,Mainland China,1/30/20 21:30,87,,,
Heilongjiang,Mainland China,1/30/20 21:30,59,2,,
Hainan,Mainland China,1/30/20 21:30,50,1,1,
Liaoning,Mainland China,1/30/20 21:30,45,,1,
Shanxi,Mainland China,1/30/20 21:30,39,,1,
Tianjin,Mainland China,1/30/20 21:30,32,,,
Gansu,Mainland China,1/30/20 21:30,29,,,
Ningxia,Mainland China,1/30/20 21:30,21,,1,
Inner Mongolia,Mainland China,1/30/20 21:30,20,,,
Xinjiang,Mainland China,1/30/20 21:30,17,,,
Guizhou,Mainland China,1/30/20 21:30,15,,1,
Jilin,Mainland China,1/30/20 21:30,14,,1,
Hong Kong,Hong Kong,1/30/20 21:30,12,,,
Taiwan,Taiwan,1/30/20 21:30,9,,,
Qinghai,Mainland China,1/30/20 21:30,8,,,
Macau,Macau,1/30/20 21:30,7,,,
Tibet,Mainland China,1/30/20 21:30,1,,,
Washington,US,1/30/20 21:30,1,,,
Illinois,US,1/30/20 21:30,2,,,
California,US,1/30/20 21:30,2,,,
Arizona,US,1/30/20 21:30,1,,,
,Japan,1/30/20 21:30,11,,1,
,Thailand,1/30/20 21:30,14,,5,
,South Korea,1/30/20 21:30,6,,,
,Singapore ,1/30/20 21:30,10,,,
,Vietnam,1/30/20 21:30,2,,,
,France,1/30/20 21:30,5,,,
,Nepal,1/30/20 21:30,1,,,
,Malaysia ,1/30/20 21:30,8,,,
Ontario,Canada,1/30/20 21:30,2,,,
British Columbia,Canada,1/30/20 21:30,1,,,
,Cambodia,1/30/20 21:30,1,,,
,Sri Lanka,1/30/20 21:30,1,,,
New South Wales,Australia,1/30/20 21:30,4,,2,
Victoria,Australia,1/30/20 21:30,2,,,
Queensland,Australia,1/30/20 21:30,3,,,
Bavaria,Germany,1/30/20 21:30,4,,,
,Finland,1/30/20 21:30,1,,,
,United Arab Emirates,1/30/20 21:30,4,,,
,Philippines,1/30/20 21:30,1,,,
,India,1/30/20 21:30,1,,,
,Italy,1/30/20 21:30,2,,,
Hubei,Mainland China,1/31/20 14:00,5806,204,141,
Zhejiang,Mainland China,1/31/20 14:00,538,,14,
Guangdong,Mainland China,1/31/20 14:00,436,,11,
Henan,Mainland China,1/31/20 14:00,352,2,3,
Hunan,Mainland China,1/31/20 14:00,332,,2,
Jiangxi,Mainland China,1/31/20 14:00,240,,7,
Anhui,Mainland China,1/31/20 14:00,237,,3,
Chongqing,Mainland China,1/31/20 14:00,211,,1,
Shandong,Mainland China,1/31/20 14:00,184,,2,
Sichuan,Mainland China,1/31/20 14:00,177,1,1,
Jiangsu,Mainland China,1/31/20 14:00,168,,5,
Beijing,Mainland China,1/31/20 14:00,139,1,5,
Shanghai,Mainland China,1/31/20 14:00,135,1,9,
Fujian,Mainland China,1/31/20 14:00,120,,,
Guangxi,Mainland China,1/31/20 14:00,87,,2,
Shaanxi,Mainland China,1/31/20 14:00,87,,,
Yunnan,Mainland China,1/31/20 14:00,83,,1,
Hebei,Mainland China,1/31/20 14:00,82,1,,
Heilongjiang,Mainland China,1/31/20 14:00,59,2,,
Hainan,Mainland China,1/31/20 14:00,52,1,1,
Liaoning,Mainland China,1/31/20 14:00,48,,1,
Shanxi,Mainland China,1/31/20 14:00,39,,1,
Tianjin,Mainland China,1/31/20 14:00,32,,,
Guizhou,Mainland China,1/31/20 14:00,29,,2,
Gansu,Mainland China,1/31/20 14:00,29,,,
Ningxia,Mainland China,1/31/20 14:00,21,,,
Inner Mongolia,Mainland China,1/31/20 14:00,20,,1,
Xinjiang,Mainland China,1/31/20 14:00,17,,,
Jilin,Mainland China,1/31/20 14:00,14,,1,
Hong Kong,Hong Kong,1/31/20 14:00,12,,,
Taiwan,Taiwan,1/31/20 14:00,10,,,
Qinghai,Mainland China,1/31/20 14:00,8,,,
Macau,Macau,1/31/20 14:00,7,,,
Tibet,Mainland China,1/31/20 14:00,1,,,
,Thailand,1/31/20 14:00,19,,5,
,Japan,1/31/20 14:00,15,,1,
,Singapore,1/31/20 14:00,13,,,
,South Korea,1/31/20 14:00,11,,,
,Malaysia,1/31/20 14:00,8,,,
,France,1/31/20 14:00,5,,,
Bavaria,Germany,1/31/20 14:00,5,,,
New South Wales,Australia,1/31/20 14:00,4,,2,
,United Arab Emirates,1/31/20 14:00,4,,,
Victoria,Australia,1/31/20 14:00,3,,,
Illinois,US,1/31/20 14:00,2,,,
California,US,1/31/20 14:00,2,,,
,Vietnam,1/31/20 14:00,2,,,
Ontario,Canada,1/31/20 14:00,2,,,
Queensland,Australia,1/31/20 14:00,2,,,
,Italy,1/31/20 14:00,2,,,
,UK,1/31/20 14:00,2,,,
,Russia,1/31/20 14:00,2,,,
Washington,US,1/31/20 14:00,1,,,
Arizona,US,1/31/20 14:00,1,,,
,Nepal,1/31/20 14:00,1,,,
British Columbia,Canada,1/31/20 14:00,1,,,
,Cambodia,1/31/20 14:00,1,,,
,Sri Lanka,1/31/20 14:00,1,,,
,Finland,1/31/20 14:00,1,,,
,Philippines,1/31/20 14:00,1,,,
,India,1/31/20 14:00,1,,,
,Sweden,1/31/20 14:00,1,,,
Hubei,Mainland China,2/1/2020 23:33,9074,294,215,
Zhejiang,Mainland China,2/2/2020 2:13,661,0,23,
Guangdong,Mainland China,2/2/2020 1:23,604,0,14,
Henan,Mainland China,2/2/2020 0:53,493,2,4,
Hunan,Mainland China,2/2/2020 1:53,463,0,8,
Anhui,Mainland China,2/2/2020 1:33,340,0,5,
Jiangxi,Mainland China,2/2/2020 1:23,333,0,10,
Chongqing,Mainland China,2/1/2020 23:43,262,1,3,
Jiangsu,Mainland China,2/2/2020 1:13,236,0,6,
Sichuan,Mainland China,2/2/2020 1:03,231,1,3,
Shandong,Mainland China,2/2/2020 1:03,225,0,5,
