Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Jiangxi,Mainland China,2/3/2020,391,0,18,
Chongqing,Mainland China,2/2/2020 ,300,2,7,
Jiangsu,Mainland China,2/3/2020,271,0,7,
Sichuan,Mainland China,2/3/2020,254,1,12,
Shandong,Mainland China,2/3/2020,246,0,6,
Shanghai,Mainland China,2/3/2020,193,1,10,
Beijing,Mainland China,2/2/2020 ,191,1,9,
Fujian,Mainland China,2/2/2020 ,159,0,0,
Guangxi,Mainland China,2/3/2020,127,0,2,
Shaanxi,Mainland China,2/2/2020 ,116,0,0,
Hebei,Mainland China,2/3/2020,113,1,3,
Yunnan,Mainland China,2/2/2020 ,105,0,3,
Heilongjiang,Mainland China,2/2/2020 ,95,2,2,
Hainan,Mainland China,2/3/2020,71,1,4,
Liaoning,Mainland China,2/2/2020 ,70,0,1,
Shanxi,Mainland China,2/2/2020 ,66,0,3,
Gansu,Mainland China,2/2/2020 ,51,0,3,
Tianjin,Mainland China,2/2/2020 ,48,0,1,
Guizhou,Mainland China,2/3/2020 ,46,0,2,
Jilin,Mainland China,2/3/2020,31,0,1,
Ningxia,Mainland China,2/2/2020 ,28,0,0,
Inner Mongolia,Mainland China,2/2/2020 ,27,0,1,
Xinjiang,Mainland China,2/3/2020,24,0,0,
,Japan,2/1/2020 ,20,0,1,
,Thailand,1/31/2020 ,19,0,5,
,Singapore,2/2/2020 ,18,0,0,
Hong Kong,Hong Kong,2/2/2020 ,15,0,0,
,South Korea,2/2/2020 ,15,0,0,
Qinghai,Mainland China,2/2/2020 ,11,0,0,
,Germany,2/2/2020 ,10,0,0,
Taiwan,Taiwan,1/31/2020 ,10,0,0,
Macau,Macau,2/2/2020 ,8,0,0,
,Malaysia,1/31/2020 ,8,0,0,
,France,2/1/2020 ,6,0,0,
,Vietnam,2/1/2020 ,6,0,1,
,United Arab Emirates,2/2/2020 ,5,0,0,
New South Wales,Australia,2/1/2020 ,4,0,2,
Victoria,Australia,2/1/2020 ,4,0,0,
Ontario,Canada,2/1/2020 ,3,0,0,
Queensland,Australia,2/2/2020 ,2,0,0,
South Australia,Australia,2/2/2020 ,2,0,0,
,India,2/2/2020,2,0,0,
,Italy,1/31/2020 ,2,0,0,
,Philippines,2/2/2020 ,2,1,0,
,Russia,1/31/2020 ,2,0,0,
,UK,2/1/2020 ,2,0,0,
"Chicago, IL",US,2/1/2020 ,2,0,0,
"Santa Clara, CA",US,2/3/2020 ,2,0,0,
,Cambodia,1/31/2020 ,1,0,0,
British Columbia,Canada,2/1/2020 ,1,0,0,
,Finland,1/31/2020 ,1,0,0,
Tibet,Mainland China,2/1/2020 ,1,0,0,
,Nepal,1/31/2020 ,1,0,0,
,Spain,2/1/2020 ,1,0,0,
,Sri Lanka,1/31/2020 ,1,0,0,
,Sweden,2/1/2020 ,1,0,0,
"Boston, MA",US,2/1/2020 ,1,0,0,
"Los Angeles, CA",US,2/1/2020 ,1,0,0,
"Orange, CA",US,2/1/2020 ,1,0,0,
"Seattle, WA",US,2/1/2020 ,1,0,0,
"Tempe, AZ",US,2/1/2020 ,1,0,0,
Hubei,Mainland China,2/4/20 ,13522,414,396,
Zhejiang,Mainland China,2/4/20 ,829,0,48,
Guangdong,Mainland China,2/4/20 ,797,0,21,
Henan,Mainland China,2/4/20 ,675,2,20,
Hunan,Mainland China,2/4/20 ,593,0,22,
Anhui,Mainland China,2/4/20 ,480,0,14,
Jiangxi,Mainland China,2/4/20 ,476,0,19,
Chongqing,Mainland China,2/3/20 ,337,2,9,
Jiangsu,Mainland China,2/4/20 ,308,0,8,
Sichuan,Mainland China,2/4/20 ,282,1,14,
Shandong,Mainland China,2/4/20 ,270,0,7,
Beijing,Mainland China,2/4/20 ,212,1,12,
Shanghai,Mainland China,2/4/20 ,208,1,10,
Fujian,Mainland China,2/3/20 ,179,0,1,
Heilongjiang,Mainland China,2/4/20 ,155,2,2,
Shaanxi,Mainland China,2/4/20 ,142,0,1,
Guangxi,Mainland China,2/4/20 ,139,0,7,
Hebei,Mainland China,2/4/20 ,126,1,3,
Yunnan,Mainland China,2/3/20 ,117,0,5,
Hainan,Mainland China,2/4/20 ,79,1,4,
Liaoning,Mainland China,2/3/20 ,74,0,1,
Shanxi,Mainland China,2/3/20 ,74,0,2,
Tianjin,Mainland China,2/4/20 ,60,0,1,
Guizhou,Mainland China,2/4/20 ,56,0,2,
Gansu,Mainland China,2/3/20 ,55,0,3,
Jilin,Mainland China,2/4/20 ,42,0,1,
Inner Mongolia,Mainland China,2/3/20 ,34,0,1,
Ningxia,Mainland China,2/4/20 ,34,0,1,
Xinjiang,Mainland China,2/4/20 ,29,0,0,
,Japan,2/1/20 ,20,0,1,
,Thailand,1/31/20 ,19,0,5,
,Singapore,2/2/20,18,0,0,
Hong Kong,Hong Kong,2/2/20 ,15,0,0,
Qinghai,Mainland China,2/4/20 ,15,0,0,
,South Korea,2/2/20 ,15,0,0,
,Germany,2/3/20 ,12,0,0,
Taiwan,Taiwan,1/31/20 ,10,0,0,
Macau,Macau,2/2/20 ,8,0,0,
,Malaysia,1/31/20 ,8,0,0,
,Vietnam,2/3/20 ,8,0,1,
,France,2/1/20 ,6,0,0,
,United Arab Emirates,2/2/20 ,5,0,0,
New South Wales,Australia,2/1/20 ,4,0,2,
Victoria,Australia,2/1/20 ,4,0,0,
,India,2/3/20 ,3,0,0,
Queensland,Australia,2/2/20,2,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Italy,1/31/20 ,2,0,0,
,Philippines,2/2/20,2,1,0,
,Russia,1/31/20 ,2,0,0,
,UK,2/1/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Cambodia,1/31/20 ,1,0,0,
British Columbia,Canada,2/1/20 ,1,0,0,
"London, ON",Canada,2/4/20,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,1/31/20 ,1,0,0,
,Sweden,2/1/20 ,1,0,0,
"Boston, MA",US,2/1/20 ,1,0,0,
"Los Angeles, CA",US,2/1/20 ,1,0,0,
"Orange, CA",US,2/1/20 ,1,0,0,
"Seattle, WA",US,2/1/20 ,1,0,0,
"Tempe, AZ",US,2/1/20 ,1,0,0,
Hubei,Mainland China,2/4/20 ,16678,479,522,
Zhejiang,Mainland China,2/5/20 ,895,0,63,
Guangdong,Mainland China,2/5/20 ,870,0,32,
Henan,Mainland China,2/5/20 ,764,2,41,
Hunan,Mainland China,2/5/20 ,661,0,35,
Jiangxi,Mainland China,2/5/20 ,548,0,27,
Anhui,Mainland China,2/5/20 ,530,0,20,
Chongqing,Mainland China,2/5/20 ,366,2,14,
Jiangsu,Mainland China,2/5/20 ,341,0,13,
Sichuan,Mainland China,2/5/20 ,301,1,23,
Shandong,Mainland China,2/5/20 ,298,0,13,
Shanghai,Mainland China,2/5/20 ,233,1,12,
Beijing,Mainland China,2/4/20 ,228,1,23,
Fujian,Mainland China,2/4/20 ,194,0,3,
Heilongjiang,Mainland China,2/5/20 ,190,2,4,
Shaanxi,Mainland China,2/5/20 ,165,0,2,
Guangxi,Mainland China,2/5/20 ,150,0,10,
Hebei,Mainland China,2/4/20 ,135,1,4,
Yunnan,Mainland China,2/4/20 ,122,0,5,
Hainan,Mainland China,2/5/20 ,91,1,4,
Liaoning,Mainland China,2/4/20 ,81,0,2,
Shanxi,Mainland China,2/4/20 ,81,0,4,
Tianjin,Mainland China,2/4/20 ,67,0,2,
Guizhou,Mainland China,2/5/20 ,64,0,5,
Gansu,Mainland China,2/4/20 ,57,0,4,
Jilin,Mainland China,2/5/20 ,54,0,1,
Inner Mongolia,Mainland China,2/5/20 ,42,0,1,
Ningxia,Mainland China,2/4/20 ,34,0,1,
Xinjiang,Mainland China,2/5/20 ,32,0,0,
,Thailand,2/4/20 ,25,0,5,
,Singapore,2/4/20 ,24,0,0,
,Japan,2/4/20 ,22,0,1,
Hong Kong,Hong Kong,2/5/20 ,18,1,0,
Qinghai,Mainland China,2/5/20 ,17,0,0,
,South Korea,2/4/20 ,16,0,0,
,Germany,2/3/20 ,12,0,0,
Taiwan,Taiwan,2/4/20 ,11,0,0,
Macau,Macau,2/4/20 ,10,0,0,
,Malaysia,2/4/20 ,10,0,0,
,Vietnam,2/3/20,8,0,1,
,France,2/1/20 ,6,0,0,
,United Arab Emirates,2/2/20 ,5,0,0,
New South Wales,Australia,2/1/20 ,4,0,2,
Victoria,Australia,2/1/20 ,4,0,0,
Queensland,Australia,2/4/20 ,3,0,0,
,India,2/3/20 ,3,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Italy,1/31/20 ,2,0,0,
,Philippines,2/2/20 ,2,1,0,
,Russia,1/31/20 ,2,0,0,
,UK,2/1/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Belgium,2/4/20 ,1,0,0,
,Cambodia,1/31/20 ,1,0,0,
British Columbia,Canada,2/1/20 ,1,0,0,
"London, ON",Canada,2/4/20 ,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,1/31/20 ,1,0,0,
,Sweden,2/1/20 ,1,0,0,
"Boston, MA",US,2/1/20 ,1,0,0,
"Los Angeles, CA",US,2/1/20 ,1,0,0,
"Orange, CA",US,2/1/20 ,1,0,0,
"Seattle, WA",US,2/1/20 ,1,0,0,
"Tempe, AZ",US,2/1/20 ,1,0,0,
Hubei,Mainland China,2/5/20 ,16678,479,538,
Guangdong,Mainland China,2/5/20 ,895,0,49,
Zhejiang,Mainland China,2/5/20 ,895,0,78,
Henan,Mainland China,2/5/20 ,764,2,47,
Hunan,Mainland China,2/5/20 ,661,0,54,
Jiangxi,Mainland China,2/5/20 ,548,0,27,
Anhui,Mainland China,2/5/20 ,530,0,23,
Chongqing,Mainland China,2/5/20 ,376,2,15,
Jiangsu,Mainland China,2/5/20 ,341,0,23,
Shandong,Mainland China,2/5/20 ,307,0,15,
Sichuan,Mainland China,2/5/20 ,301,1,24,
Beijing,Mainland China,2/5/20 ,253,1,24,
Shanghai,Mainland China,2/5/20 ,243,1,15,
Fujian,Mainland China,2/5/20 ,205,0,11,
Heilongjiang,Mainland China,2/5/20 ,190,2,7,
Shaanxi,Mainland China,2/5/20 ,165,0,6,
Guangxi,Mainland China,2/5/20 ,150,0,13,
Hebei,Mainland China,2/5/20 ,135,1,6,
Yunnan,Mainland China,2/5/20 ,124,0,5,
Hainan,Mainland China,2/5/20 ,99,1,5,
Liaoning,Mainland China,2/5/20 ,89,0,4,
Shanxi,Mainland China,2/5/20 ,81,0,5,
Tianjin,Mainland China,2/5/20 ,69,1,2,
Guizhou,Mainland China,2/5/20 ,64,1,9,
Gansu,Mainland China,2/5/20 ,62,0,6,
Jilin,Mainland China,2/5/20 ,54,0,2,
Inner Mongolia,Mainland China,2/5/20 ,42,0,3,
Ningxia,Mainland China,2/4/20 ,34,0,1,
Xinjiang,Mainland China,2/5/20 ,32,0,0,
,Singapore,2/5/20 ,28,0,0,
,Thailand,2/4/20 ,25,0,5,
,Japan,2/4/20 ,22,0,1,
Hong Kong,Hong Kong,2/5/20 ,21,1,0,
,South Korea,2/5/20 ,19,0,0,
Qinghai,Mainland China,2/5/20 ,17,0,3,
,Germany,2/3/20 ,12,0,0,
,Malaysia,2/5/20 ,12,0,0,
Taiwan,Taiwan,2/4/20 ,11,0,0,
Macau,Macau,2/4/20 ,10,0,0,
,Vietnam,2/3/20 ,8,0,1,
,France,2/1/20 ,6,0,0,
,United Arab Emirates,2/2/20 ,5,0,0,
New South Wales,Australia,2/1/20 ,4,0,2,
Victoria,Australia,2/1/20 ,4,0,0,
Queensland,Australia,2/4/20 ,3,0,0,
,India,2/3/20 ,3,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Italy,1/31/20 ,2,0,0,
,Philippines,2/2/20 ,2,1,0,
,Russia,1/31/20 ,2,0,0,
,UK,2/1/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Belgium,2/4/20 ,1,0,0,
,Cambodia,1/31/20 ,1,0,0,
British Columbia,Canada,2/1/20 ,1,0,0,
"London, ON",Canada,2/4/20 ,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,1/31/20 ,1,0,0,
,Sweden,2/1/20 ,1,0,0,
"Boston, MA",US,2/1/20 ,1,0,0,
"Los Angeles, CA",US,2/1/20 ,1,0,0,
"Orange, CA",US,2/1/20 ,1,0,0,
"Seattle, WA",US,2/1/20 ,1,0,0,
"Tempe, AZ",US,2/1/20 ,1,0,0,
Hubei,Mainland China,2/6/20 ,22112,618,817,
Guangdong,Mainland China,2/6/20 ,970,0,69,
Zhejiang,Mainland China,2/6/20 ,954,0,94,
Henan,Mainland China,2/6/20 ,851,2,56,
Hunan,Mainland China,2/6/20 ,711,0,81,
Jiangxi,Mainland China,2/6/20 ,600,0,37,
Anhui,Mainland China,2/6/20 ,591,0,34,
Chongqing,Mainland China,2/6/20 ,400,2,24,
Jiangsu,Mainland China,2/6/20 ,373,0,34,
Shandong,Mainland China,2/6/20 ,347,0,27,
Sichuan,Mainland China,2/6/20 ,321,1,31,
Beijing,Mainland China,2/6/20 ,274,1,31,
Shanghai,Mainland China,2/6/20 ,257,1,25,
Heilongjiang,Mainland China,2/6/20 ,227,3,8,
Fujian,Mainland China,2/6/20 ,215,0,14,
Shaanxi,Mainland China,2/6/20 ,173,0,9,
Guangxi,Mainland China,2/6/20 ,168,0,14,
Hebei,Mainland China,2/6/20 ,157,1,13,
Yunnan,Mainland China,2/6/20 ,133,0,7,
Hainan,Mainland China,2/6/20 ,106,1,8,
Shanxi,Mainland China,2/6/20 ,96,0,12,
Liaoning,Mainland China,2/6/20 ,94,0,5,
Tianjin,Mainland China,2/6/20 ,78,1,2,
Guizhou,Mainland China,2/6/20 ,71,1,6,
Gansu,Mainland China,2/5/20 ,62,0,6,
Jilin,Mainland China,2/6/20 ,59,0,4,
Inner Mongolia,Mainland China,2/6/20 ,46,0,4,
,Japan,2/6/20 ,45,0,1,
Ningxia,Mainland China,2/6/20 ,40,0,1,
Xinjiang,Mainland China,2/6/20 ,36,0,0,
,Singapore,2/5/20 ,28,0,0,
,Thailand,2/4/20 ,25,0,5,
Hong Kong,Hong Kong,2/6/20 ,24,1,0,
,South Korea,2/6/20 ,23,0,0,
Qinghai,Mainland China,2/6/20 ,18,0,3,
Taiwan,Taiwan,2/6/20 ,16,0,1,
,Germany,2/3/20 ,12,0,0,
,Malaysia,2/5/20 ,12,0,0,
Macau,Macau,2/6/20 ,10,0,1,
,Vietnam,2/6/20 ,10,0,1,
,France,2/1/20,6,0,0,
,United Arab Emirates,2/2/20 ,5,0,0,
New South Wales,Australia,2/6/20 ,4,0,2,
Queensland,Australia,2/6/20 ,4,0,0,
Victoria,Australia,2/1/20 ,4,0,0,
,India,2/3/20 ,3,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
British Columbia,Canada,2/5/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Italy,1/31/20 ,2,0,0,
,Philippines,2/2/20 ,2,1,0,
,Russia,1/31/20 ,2,0,0,
,UK,2/1/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Belgium,2/4/20 ,1,0,0,
,Cambodia,1/31/20 ,1,0,0,
"London, ON",Canada,2/4/20 ,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,1/31/20 ,1,0,0,
,Sweden,2/1/20,1,0,0,
"Boston, MA",US,2/1/20,1,0,0,
"Los Angeles, CA",US,2/1/20,1,0,0,
"Madison, WI",US,2/5/20 ,1,0,0,
"Orange, CA",US,2/1/20,1,0,0,
"Seattle, WA",US,2/1/20,1,0,0,
"Tempe, AZ",US,2/1/20,1,0,0,
Hubei,Mainland China,2/7/20 ,22112,618,867,
Guangdong,Mainland China,2/7/20 ,1034,1,88,
Zhejiang,Mainland China,2/7/20 ,1006,0,123,
Henan,Mainland China,2/7/20 ,914,3,86,
Hunan,Mainland China,2/7/20 ,772,0,112,
Anhui,Mainland China,2/7/20 ,665,0,47,
Jiangxi,Mainland China,2/7/20 ,661,0,45,
Chongqing,Mainland China,2/7/20 ,415,2,31,
Jiangsu,Mainland China,2/7/20 ,408,0,43,
Shandong,Mainland China,2/7/20 ,386,0,37,
Sichuan,Mainland China,2/7/20 ,344,1,42,
Beijing,Mainland China,2/7/20 ,297,1,33,
Heilongjiang,Mainland China,2/7/20 ,277,3,12,
Shanghai,Mainland China,2/7/20 ,277,1,30,
Fujian,Mainland China,2/7/20 ,224,0,20,
Shaanxi,Mainland China,2/7/20 ,184,0,17,
Guangxi,Mainland China,2/7/20 ,172,0,17,
Hebei,Mainland China,2/7/20 ,172,1,22,
Yunnan,Mainland China,2/7/20 ,138,0,12,
Hainan,Mainland China,2/7/20 ,117,2,10,
Liaoning,Mainland China,2/7/20 ,99,0,7,
Shanxi,Mainland China,2/7/20 ,96,0,15,
Guizhou,Mainland China,2/7/20 ,81,1,6,
Tianjin,Mainland China,2/7/20 ,81,1,2,
Gansu,Mainland China,2/7/20 ,67,0,9,
Jilin,Mainland China,2/7/20 ,65,1,4,
Cruise Ship,Others,2/7/20 ,61,0,0,
Inner Mongolia,Mainland China,2/7/20 ,50,0,5,
Ningxia,Mainland China,2/7/20 ,43,0,5,
Xinjiang,Mainland China,2/7/20 ,39,0,0,
,Singapore,2/7/20 ,30,0,0,
Hong Kong,Hong Kong,2/7/20 ,25,1,0,
,Japan,2/7/20 ,25,0,1,
,Thailand,2/4/20 ,25,0,5,
,South Korea,2/7/20,24,0,1,
Qinghai,Mainland China,2/6/20 ,18,0,3,
Taiwan,Taiwan,2/6/20 ,16,0,1,
,Germany,2/7/20 ,13,0,0,
,Malaysia,2/7/20 ,12,0,1,
Macau,Macau,2/6/20 ,10,0,1,
,Vietnam,2/6/20 ,10,0,1,
,France,2/1/20 ,6,0,0,
Queensland,Australia,2/7/20 ,5,0,0,
,United Arab Emirates,2/2/20 ,5,0,0,
New South Wales,Australia,2/6/20 ,4,0,2,
Victoria,Australia,2/1/20 ,4,0,0,
British Columbia,Canada,2/7/20,4,0,0,
,India,2/3/20 ,3,0,0,
,Italy,2/7/20 ,3,0,0,
,Philippines,2/7/20 ,3,1,0,
,UK,2/7/20 ,3,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Russia,1/31/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Belgium,2/4/20 ,1,0,0,
,Cambodia,1/31/20 ,1,0,0,
"London, ON",Canada,2/4/20 ,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,1/31/20 ,1,0,0,
,Sweden,2/1/20 ,1,0,0,
"Boston, MA",US,2/1/20 ,1,0,0,
"Los Angeles, CA",US,2/1/20 ,1,0,0,
"Madison, WI",US,2/5/20 ,1,0,0,
"Orange, CA",US,2/1/20 ,1,0,0,
"Seattle, WA",US,2/1/20 ,1,0,0,
"Tempe, AZ",US,2/1/20 ,1,0,0,
Hubei,Mainland China,2/9/20 ,27100,780,1440,
Guangdong,Mainland China,2/9/20 ,1120,1,125,
Zhejiang,Mainland China,2/9/20 ,1075,0,185,
Henan,Mainland China,2/9/20 ,1033,6,131,
Hunan,Mainland China,2/9/20 ,838,1,159,
Anhui,Mainland China,2/9/20 ,779,1,59,
Jiangxi,Mainland China,2/9/20 ,740,0,72,
Jiangsu,Mainland China,2/9/20 ,468,0,58,
Chongqing,Mainland China,2/9/20 ,446,2,39,
Shandong,Mainland China,2/9/20 ,435,1,50,
Sichuan,Mainland China,2/9/20 ,386,1,60,
Beijing,Mainland China,2/9/20 ,326,2,37,
Heilongjiang,Mainland China,2/9/20 ,307,6,13,
Shanghai,Mainland China,2/9/20 ,292,1,41,
Fujian,Mainland China,2/9/20 ,250,0,26,
Shaanxi,Mainland China,2/9/20 ,208,0,25,
Hebei,Mainland China,2/9/20 ,206,2,30,
Guangxi,Mainland China,2/9/20 ,195,1,18,
Yunnan,Mainland China,2/9/20 ,140,0,17,
Hainan,Mainland China,2/9/20 ,128,2,15,
Shanxi,Mainland China,2/8/20 ,115,0,21,
Liaoning,Mainland China,2/8/20 ,105,0,8,
Guizhou,Mainland China,2/9/20 ,96,1,7,
Tianjin,Mainland China,2/9/20 ,90,1,4,
Gansu,Mainland China,2/8/20 ,79,1,12,
Jilin,Mainland China,2/9/20 ,78,1,5,
Cruise Ship,Others,2/7/20 ,61,0,0,
Inner Mongolia,Mainland China,2/9/20,54,0,5,
Ningxia,Mainland China,2/9/20 ,45,0,13,
Xinjiang,Mainland China,2/9/20 ,45,0,0,
,Singapore,2/9/20 ,40,0,2,
,Thailand,2/8/20 ,32,0,10,
Hong Kong,Hong Kong,2/8/20 ,26,1,0,
,Japan,2/7/20 ,25,0,1,
,South Korea,2/9/20 ,25,0,3,
Qinghai,Mainland China,2/6/20 ,18,0,3,
Taiwan,Taiwan,2/8/20 ,17,0,1,
,Malaysia,2/8/20 ,16,0,1,
,Germany,2/7/20 ,13,0,0,
,Vietnam,2/8/20 ,13,0,1,
,France,2/8/20 ,11,0,0,
Macau,Macau,2/6/20 ,10,0,1,
,United Arab Emirates,2/8/20 ,7,0,0,
Queensland,Australia,2/7/20 ,5,0,0,
New South Wales,Australia,2/6/20 ,4,0,2,
Victoria,Australia,2/1/20 ,4,0,0,
British Columbia,Canada,2/7/20 ,4,0,0,
,India,2/3/20 ,3,0,0,
,Italy,2/7/20 ,3,0,0,
,Philippines,2/7/20 ,3,1,0,
,UK,2/7/20 ,3,0,0,
South Australia,Australia,2/2/20 ,2,0,0,
"Toronto, ON",Canada,2/4/20 ,2,0,0,
,Russia,1/31/20 ,2,0,0,
"Chicago, IL",US,2/1/20 ,2,0,0,
"San Benito, CA",US,2/3/20 ,2,0,0,
"Santa Clara, CA",US,2/3/20 ,2,0,0,
,Belgium,2/4/20 ,1,0,0,
,Cambodia,1/31/20 ,1,0,0,
"London, ON",Canada,2/4/20 ,1,0,0,
,Finland,1/31/20 ,1,0,0,
Tibet,Mainland China,2/1/20 ,1,0,0,
,Nepal,1/31/20 ,1,0,0,
,Spain,2/1/20 ,1,0,0,
,Sri Lanka,2/8/20 ,1,0,1,
,Sweden,2/1/20 ,1,0,0,
"Boston, MA",US,2/1/20 ,1,0,0,
"Los Angeles, CA",US,2/1/20 ,1,0,0,
"Madison, WI",US,2/5/20 ,1,0,0,
"Orange, CA",US,2/1/20 ,1,0,0,
"Seattle, WA",US,2/1/20 ,1,0,0,
"Tempe, AZ",US,2/1/20 ,1,0,0,
